"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.395642208E0,2.014935493E0,-4.692117214E0,-1.062003994E1,1.178393726E1
3.413745755E0,2.635912895E0,-3.580325127E0,-9.997550964E0,1.094156251E1
3.431837307E0,2.503293753E0,-3.183567047E0,-7.254303932E0,8.308219081E0
3.449947079E0,2.216926098E0,-2.034660101E0,-2.710123539E0,4.049613889E0
3.468056881E0,1.600625515E-1,1.299121380E-1,1.147271156E0,1.165645010E0
3.486159542E0,-6.261396408E-1,4.405022621E0,5.179243088E0,6.827945087E0
3.504251400E0,3.556470156E0,6.186992645E0,1.365235710E1,1.540500608E1
3.522366299E0,8.415995598E0,7.592704296E-1,2.893131638E1,3.014011514E1
3.540469876E0,9.457865715E0,-6.575294495E0,4.082690048E1,4.242076761E1
3.558573360E0,7.868594646E0,-7.092999458E0,3.807759476E1,3.952377317E1
3.576665493E0,6.348341465E0,-2.385821342E0,2.543307877E1,2.632176055E1
3.594780208E0,4.463261604E0,1.848887205E0,1.037378311E1,1.144353372E1
3.612883328E0,2.537227869E0,2.794096470E0,1.101040840E0,3.931512594E0
3.630986751E0,1.349518061E0,1.571226597E0,-2.019526482E0,2.892825474E0
3.649085812E0,1.165759325E0,3.716964722E-1,-3.145596504E0,3.375193393E0
3.667193966E0,1.956594110E0,4.544210434E-1,-4.061623096E0,4.531174370E0
3.685297268E0,3.094512939E0,1.568337440E0,-5.545382500E0,6.541174186E0
3.703400204E0,3.575416088E0,1.996187687E0,-7.579850197E0,8.615247790E0
3.721503872E0,2.737348318E0,7.224993706E-1,-9.815990448E0,1.021610247E1
3.739607571E0,1.288949013E0,-1.530588150E0,-1.026568604E1,1.045889093E1
3.757711087E0,9.230017662E-1,-2.239437103E0,-8.501534462E0,8.839858540E0
3.775814358E0,1.152537584E0,-1.688735008E0,-6.613915443E0,6.922719574E0
3.793917385E0,1.384177446E0,-6.537801027E-1,-6.825410366E0,6.994969785E0
3.812021816E0,1.700895309E0,8.959883451E-1,-8.622225761E0,8.833946856E0
3.830124691E0,1.737334609E0,1.577245712E0,-9.651264191E0,9.932418440E0
3.848228146E0,1.409013510E0,5.580934286E-1,-8.747350693E0,8.877664754E0
3.866331661E0,1.281220555E0,-9.355938435E-1,-5.810922623E0,6.023593917E0
3.884434994E0,1.692173481E0,-1.591275215E0,-2.110195160E0,3.138237007E0
3.902538692E0,2.044195175E0,-1.286749363E0,4.092731476E-1,2.449890272E0
3.920626614E0,1.419614315E0,-7.395740747E-1,9.364500046E-1,1.854511587E0
3.938743679E0,9.422520399E-1,-4.949618280E-1,1.646122932E0,1.960241523E0
3.956850613E0,1.920002580E0,-1.894991159E0,8.331933022E0,8.757768510E0
3.974952267E0,4.173386574E0,-5.619009972E0,2.254242706E1,2.360405572E1
3.993055782E0,5.702483177E0,-1.018020535E1,3.432156754E1,3.625086059E1
4.011159085E0,6.490890026E0,-1.194513702E1,3.553681183E1,3.804842897E1
4.029257962E0,6.986417294E0,-9.788361549E0,2.917112541E1,3.155275909E1
4.047366116E0,6.700852871E0,-5.617448330E0,2.049686050E1,2.228404015E1
4.065467647E0,5.794086456E0,-1.930863857E0,1.297208595E1,1.433787596E1
4.083572292E0,4.448015213E0,3.635709286E-1,7.944168091E0,9.111905937E0
4.101676785E0,3.148441792E0,1.610186577E0,4.644822121E0,5.837787171E0
4.119779659E0,3.097885132E0,2.470142841E0,9.233627319E-1,4.068303907E0
4.137881497E0,3.555843592E0,2.471386194E0,-3.374418259E0,5.489851724E0
4.155987575E0,4.138665199E0,1.569016218E0,-5.509232044E0,7.066965349E0
4.174090633E0,4.579481125E0,7.822251320E-2,-5.772052288E0,7.368470245E0
4.192192745E0,4.163063049E0,-1.982453346E0,-5.132311344E0,6.899408305E0
4.210297451E0,3.074531555E0,-3.231535196E0,-5.244275093E0,6.884619471E0
4.228400296E0,1.671093225E0,-3.408596277E0,-6.566794395E0,7.585108423E0
4.246503811E0,1.479481220E0,-3.006309748E0,-8.598088264E0,9.227886258E0
4.264607083E0,2.381803513E0,-2.468001842E0,-9.924884796E0,1.050082660E1
4.282708157E0,2.929508209E0,-3.031119347E0,-9.112910271E0,1.004065916E1
4.300802669E0,2.406937599E0,-5.243384361E0,-7.655951023E0,9.586449511E0
4.318918637E0,1.695073128E0,-6.827738762E0,-7.248280525E0,1.010093362E1
4.337021145E0,1.839790106E0,-6.467267036E0,-9.136161804E0,1.134371293E1
4.355124417E0,2.128305912E0,-5.519164085E0,-1.212932205E1,1.349486242E1
4.373227932E0,2.091320992E0,-4.917128086E0,-1.525801659E1,1.616659650E1
4.391331417E0,2.740994215E0,-3.690393448E0,-1.645726395E1,1.708723470E1
4.409418148E0,3.499019146E0,-3.106743336E0,-1.544162750E1,1.613501934E1
4.427536770E0,3.104625702E0,-3.842776775E0,-1.408472443E1,1.492598728E1
4.445642941E0,2.176712513E0,-4.513889313E0,-1.325389671E1,1.416965251E1
4.463745235E0,1.430020690E0,-4.837436199E0,-1.313846493E1,1.407355708E1
4.481847134E0,1.974190712E0,-4.054661274E0,-1.187317753E1,1.270078941E1
4.499953670E0,2.002707958E0,-3.381536722E0,-1.096348000E1,1.164660995E1
4.518053128E0,1.165405989E0,-3.377397537E0,-8.690649033E0,9.396401750E0
4.536160702E0,3.323624134E-1,-1.887782335E0,-4.676271439E0,5.053879845E0
4.554262691E0,-1.571698904E0,6.249589920E-1,1.487211227E0,2.252245196E0
4.572365597E0,6.893727779E-1,5.863822460E0,7.423282623E0,9.484976203E0
4.590469143E0,6.159435272E0,1.075218201E1,1.449457169E1,1.906936468E1
4.608567806E0,6.384037495E0,2.827541113E0,2.608866882E1,2.700684292E1
4.626672207E0,2.841420650E0,-4.257081985E0,3.450037766E1,3.487796549E1
4.644779720E0,3.690634251E0,-2.797690392E0,2.728606033E1,2.767628843E1
4.662882565E0,7.390926361E0,2.298218727E0,1.476447105E1,1.667024917E1
4.680987056E0,6.800634861E0,2.396518946E0,1.038633060E1,1.264388394E1
4.699089749E0,3.613919735E0,-1.476079583E0,9.029930115E0,9.837624950E0
4.717193264E0,2.062763929E0,-2.668346405E0,4.631465912E0,5.729358084E0
4.735296749E0,2.086067677E0,-1.905803800E0,-2.276506424E-1,2.834711853E0
4.753400082E0,2.557869911E0,-7.450976372E-1,-3.616005898E0,4.491477221E0
4.771503231E0,2.759719133E0,-1.013926983E0,-4.859467983E0,5.679659030E0
4.789590999E0,2.558303833E0,-2.171392202E0,-4.330642700E0,5.478533453E0
4.807710384E0,2.348398685E0,-2.943609715E0,-3.380542755E0,5.060423288E0
4.825813839E0,1.920208931E0,-2.929914474E0,-3.948959351E0,5.278814367E0
4.843917141E0,1.600085974E0,-2.307289839E0,-5.369733334E0,6.059529486E0
4.862021114E0,1.657840014E0,-1.343914747E0,-6.047573566E0,6.413087119E0
4.880124417E0,1.723465562E0,-1.002227783E0,-4.883875847E0,5.275133871E0
4.898215725E0,1.851278067E0,-6.243290901E-1,-3.785926342E0,4.260311674E0
4.916330960E0,1.698655009E0,-6.135126352E-1,-3.719582558E0,4.134866503E0
4.934434688E0,1.873588204E0,-4.022905827E-1,-4.580799580E0,4.965470296E0
4.952526272E0,2.686252594E0,-7.212448120E-2,-5.388620377E0,6.021493544E0
4.970641232E0,2.957113743E0,-4.961216450E-1,-5.270963669E0,6.064133604E0
4.988740170E0,2.203917742E0,-1.450447559E0,-4.158201218E0,4.924600380E0
5.006846829E0,1.064938903E0,-2.189426184E0,-3.022052765E0,3.880784044E0
5.024952999E0,4.383597374E-1,-1.592599154E0,-3.232007980E0,3.629656583E0
5.043054684E0,9.639906883E-2,-6.861281395E-2,-3.569508553E0,3.571469138E0
5.061159451E0,4.487880468E-1,1.504873633E0,-2.475467682E0,2.931551741E0
5.079262112E0,1.196419239E0,1.841356635E0,2.756341934E0,3.524121750E0
5.097365384E0,2.742806911E0,4.279572964E-1,1.385526848E1,1.413062638E1
5.115467678E0,3.528723717E0,-2.638422012E0,2.829645920E1,2.863743642E1
5.133573605E0,3.005477428E0,-5.237125874E0,3.393933868E1,3.447229456E1
5.151675655E0,3.346090078E0,-5.890866280E0,3.291522598E1,3.360521873E1
5.169777767E0,4.541398048E0,-3.631864071E0,2.774569511E1,2.834851549E1
5.187884366E0,4.382451534E0,-4.308903217E-1,1.796309280E1,1.849497908E1
5.205985989E0,4.280036449E0,2.157464504E0,1.035082722E1,1.140670808E1
5.224089749E0,5.326389790E0,3.424780607E0,8.631391525E0,1.070516091E1
5.242181637E0,5.266343117E0,2.205799580E0,5.933983803E0,8.234809371E0
5.260295956E0,4.685265064E0,5.768060684E-2,1.509112358E0,4.922647244E0
5.278399807E0,4.827637196E0,-7.606838942E-1,-2.195858955E0,5.357846343E0
5.296503292E0,6.141193390E0,-6.903183460E-1,-5.628736496E0,8.359035244E0
5.314594143E0,7.083117485E0,-4.807376862E-1,-1.010688400E1,1.235114433E1
5.332700863E0,4.201647758E0,-2.655928850E0,-1.400571918E1,1.486162750E1
5.350813565E0,1.532475948E0,-3.970175982E0,-1.664236450E1,1.717786588E1
5.368912533E0,1.203166604E0,-4.445918083E0,-1.627592087E1,1.691506422E1
5.387020870E0,1.977978706E0,-4.569954872E0,-1.443327427E1,1.526814637E1
5.405124173E0,1.667850018E0,-5.310000420E0,-1.158773041E1,1.285508943E1
5.423227657E0,7.219083309E-1,-6.272579193E0,-9.219246864E0,1.117411805E1
5.441330685E0,4.338662624E-1,-6.109762192E0,-8.452001572E0,1.043809200E1
5.459434872E0,9.531030655E-1,-5.095739365E0,-9.632113457E0,1.093858194E1
5.477537869E0,1.831024170E0,-3.610194206E0,-1.054072285E1,1.129127937E1
5.495640651E0,2.420766354E0,-2.696801662E0,-9.606756210E0,1.026755150E1
5.513733669E0,2.485796452E0,-2.294660091E0,-9.016100883E0,9.629887023E0
5.531848263E0,2.327048540E0,-2.279905796E0,-8.712560654E0,9.301711589E0
5.549951534E0,2.427435398E0,-2.252731323E0,-8.081893921E0,8.734085549E0
5.568050228E0,2.583759546E0,-1.951238751E0,-7.754052162E0,8.402884683E0
5.586154385E0,2.701313972E0,-1.568658829E0,-6.812005997E0,7.494078556E0
5.604260677E0,2.198848963E0,-1.762262106E0,-6.318758011E0,6.918613105E0
5.622366238E0,1.804772973E0,-1.802587032E0,-6.030289650E0,6.547588774E0
5.640469234E0,1.646909952E0,-1.723013163E0,-3.593708038E0,4.312287585E0
5.658571285E0,1.809324980E0,-2.197020054E-1,-5.345001221E-1,1.899372590E0
5.676673611E0,1.338529587E0,2.391563416E0,5.280618668E-1,2.791072618E0
5.694779202E0,-7.529290915E-1,4.087144375E0,2.530416489E0,4.865661205E0
5.712882473E0,-1.685586810E0,3.897337914E0,6.942142487E0,8.137799949E0
5.730985989E0,6.783946753E-1,3.983338594E0,1.174199772E1,1.241779836E1
5.749089718E0,2.308973074E0,1.479403734E0,1.630105972E1,1.653011011E1
5.767193020E0,3.106053591E0,-1.982947588E0,1.713170242E1,1.752355209E1
5.785296292E0,4.270733833E0,-2.846478701E0,1.398658943E1,1.489853323E1
5.803394284E0,3.659657478E0,-2.540850639E0,1.010717964E1,1.104554639E1
5.821504696E0,1.818595052E0,-2.914469719E0,6.599758148E0,7.440311104E0
5.839606839E0,7.415740490E-1,-2.484071255E0,3.973325729E0,4.744244874E0
5.857710323E0,9.777460098E-1,-7.973226309E-1,2.087669373E0,2.439277362E0
5.875813626E0,1.497380614E0,7.386000156E-1,1.119203568E-1,1.673381264E0
5.893917141E0,1.728585482E0,1.114638329E0,-1.343822479E0,2.456885269E0
5.912020657E0,1.996463656E0,8.024840355E-1,-2.084505558E0,2.995832302E0
5.930123684E0,2.187498569E0,2.401010990E-1,-1.625243664E0,2.735729427E0
5.948220669E0,1.923935533E0,-3.944931030E-1,-1.307817459E0,2.359563360E0
5.966332821E0,1.738873243E0,-4.902352095E-1,-2.681082726E0,3.232988602E0
5.984434444E0,1.713505268E0,-4.098069668E-1,-4.738236904E0,5.055188524E0
6.002537808E0,1.681282401E0,-4.748762846E-1,-5.478039742E0,5.749881512E0
