"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.701111542E0,-1.576792917E0,-4.911759966E0,-1.346128446E0,5.331390406E0
1.711042542E0,-1.379631237E0,-3.397227909E0,-7.243893278E-1,3.737549961E0
1.720973542E0,-8.944520867E-1,-1.440865619E0,-1.289772981E-1,1.700815513E0
1.730903542E0,-5.656543797E-1,-2.179097937E-1,-5.926778716E-1,8.477715582E-1
1.740834542E0,-7.242916793E-1,-4.555406378E-1,-1.776469485E0,1.971790947E0
1.750765542E0,-1.778173948E0,-1.146316954E0,-2.512818707E0,3.284844441E0
1.760695542E0,-2.813480197E0,-1.352350029E0,-2.451206596E0,3.968996750E0
1.770626542E0,-3.451649991E0,-7.160500288E-1,-2.027177626E0,4.066456004E0
1.780557542E0,-4.184227760E0,8.896760809E-1,-1.450804131E0,4.517091775E0
1.790487542E0,-5.211735578E0,3.024924871E0,-1.269229959E0,6.158189904E0
1.800418542E0,-6.105913430E0,3.332312413E0,-5.247829270E-1,6.975806903E0
1.810349542E0,-5.484442699E0,7.154806562E-1,-5.030330390E-1,5.553743470E0
1.820279542E0,-2.977210422E0,-1.098667848E0,-2.056173384E-2,3.173527331E0
1.830210542E0,-6.372938812E-2,-1.744199432E0,1.435258139E0,2.259703303E0
1.840141542E0,2.358927008E0,-1.731422389E0,3.286248048E0,4.400202990E0
1.850071542E0,3.415321240E0,-1.759622779E0,3.930610628E0,5.496398040E0
1.860002542E0,2.920887117E0,-1.798446537E0,2.495201046E0,4.241700102E0
1.869933542E0,2.654216661E0,-1.543424904E0,9.884659588E-1,3.225537392E0
1.879863542E0,2.066998042E0,-1.106029346E0,-1.053982841E0,2.570342710E0
1.889794542E0,1.489310385E0,-1.192242301E0,-2.824396364E0,3.408328322E0
1.899725542E0,1.038043916E0,-1.308371659E0,-3.121969355E0,3.540630483E0
1.909656542E0,6.835819021E-1,-1.352583918E0,-2.429184228E0,2.863163195E0
1.919586542E0,4.343355641E-1,-1.605084085E0,-1.776757752E0,2.433477021E0
1.929517542E0,3.202087319E-1,-2.043184964E0,-1.160492797E0,2.371472530E0
1.939448542E0,4.222531700E-1,-2.412184471E0,-6.102809143E-1,2.523761965E0
1.949378542E0,8.211990461E-1,-2.329568723E0,-2.727141380E-2,2.470223074E0
1.959309542E0,1.310897217E0,-2.004407692E0,6.764368969E-1,2.488708216E0
1.969240542E0,1.652347422E0,-1.784372874E0,1.594114709E0,2.907823973E0
1.979170542E0,1.858762905E0,-1.760030915E0,1.893977469E0,3.184314528E0
