"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.032305458E0,5.266477503E-3,-2.191430811E-1,-4.564693218E-1,5.063750266E-1
2.042296458E0,1.293019831E-1,-1.333697996E-1,-3.788633215E-1,4.219525124E-1
2.052287458E0,4.437053617E-1,6.373099610E-3,-6.378230542E-1,7.770027753E-1
2.062279458E0,4.584938106E-1,7.487812802E-2,-6.667059606E-1,8.126008531E-1
2.072270458E0,4.154085656E-1,5.810041979E-2,-5.499598682E-1,6.916616165E-1
2.082261458E0,3.872389463E-1,-3.312864281E-2,-1.986755240E-1,4.364899453E-1
2.092252458E0,3.669457459E-1,-1.540009692E-1,1.978709471E-1,4.444304115E-1
2.102243458E0,4.432030859E-1,-1.311043690E-1,3.170652688E-2,4.632738227E-1
2.112234458E0,6.320397194E-1,-4.330652565E-2,-7.481161594E-2,6.379235377E-1
2.122225458E0,7.932750099E-1,4.749967363E-2,-2.340979564E-1,8.284583958E-1
2.132217458E0,7.707710503E-1,5.719128739E-2,-4.451619762E-1,8.919237862E-1
2.142208458E0,5.536635677E-1,6.166590571E-2,-3.940514642E-1,6.823654347E-1
2.152199458E0,2.173317051E-1,9.628924303E-2,-1.321418113E-1,2.719671793E-1
2.162190458E0,1.074847332E-1,1.984075388E-1,-1.835031688E-1,2.908469225E-1
2.172181458E0,3.849050302E-2,2.432355830E-1,-5.268399775E-1,5.815543221E-1
2.182172458E0,-3.028864286E-1,5.699204352E-2,-5.756507796E-1,6.529640892E-1
2.192163458E0,-3.970760827E-1,1.305763654E-2,-6.329464763E-1,7.473025888E-1
2.202154458E0,-4.239572314E-1,1.105607615E-1,-6.163877463E-1,7.562388973E-1
2.212146458E0,-3.882955382E-1,1.077056027E-1,-6.908268946E-1,7.997597891E-1
2.222137458E0,-1.449890577E-1,2.898183036E-1,-1.151311499E0,1.196049600E0
2.232128458E0,-3.572290622E-2,5.520332543E-1,-1.293416966E0,1.406749547E0
2.242119458E0,6.587210029E-2,7.102684481E-1,-6.815070176E-1,9.865455981E-1
2.252110458E0,3.474191885E-1,9.531188824E-1,-2.296470559E-1,1.040131466E0
2.262101458E0,4.773826195E-1,1.175499750E0,-2.489791203E-1,1.292936359E0
2.272092458E0,4.588461419E-1,1.095385732E0,-5.895560431E-1,1.325890649E0
2.282084458E0,2.768749071E-1,8.472877143E-1,-6.504442692E-1,1.103464513E0
2.292075458E0,5.488119867E-2,9.307320133E-1,-5.097702008E-1,1.062609846E0
2.302066458E0,-1.105961737E-1,8.665480042E-1,-4.861901343E-1,9.997588728E-1
2.312057458E0,6.240217980E-2,7.304979140E-1,-3.465504384E-1,8.109367674E-1
2.322048458E0,9.434807707E-2,6.326269260E-1,-2.114429194E-1,6.736664570E-1
2.332039458E0,2.997326598E-2,5.799419050E-1,-3.746895790E-2,5.819234766E-1
2.342030458E0,-3.258051751E-1,5.752536075E-1,3.857098264E-1,7.654004149E-1
