"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.226959583E0,-7.792315328E-1,-4.815226529E0,-7.968559179E0,9.342994364E0
1.236999583E0,-7.581707391E-1,-5.085697675E0,-7.622515694E0,9.194666346E0
1.247040583E0,-4.870579342E-1,-4.908940439E0,-7.113142519E0,8.656310886E0
1.257081583E0,-6.057715416E-4,-4.341268770E0,-6.433177412E0,7.760952681E0
1.267121583E0,5.485704967E-1,-3.436337888E0,-5.674133391E0,6.656210439E0
1.277162583E0,9.720446384E-1,-2.243032270E0,-4.615063765E0,5.222535601E0
1.287203583E0,1.139939542E0,-7.640638554E-1,-3.478509761E0,3.739423203E0
1.297243583E0,1.106569775E0,8.413120061E-1,-2.371063489E0,2.748498613E0
1.307284583E0,7.982095483E-1,2.261826975E0,-1.208991651E0,2.686012018E0
1.317325583E0,1.821486613E-1,3.221704727E0,2.178292483E-1,3.234193727E0
1.327366583E0,-1.044144608E0,3.188952134E0,2.313757559E0,4.075920475E0
1.337406583E0,-2.247521470E0,3.057796748E0,3.961888554E0,5.486167572E0
1.347447583E0,-2.878174376E0,3.680370263E0,4.964511791E0,6.817286142E0
1.357488583E0,-3.193397772E0,3.939539326E0,6.461393151E0,8.213851769E0
1.367528583E0,-3.367080542E0,3.883763321E0,7.951575941E0,9.468284367E0
1.377569583E0,-3.519569494E0,3.634633927E0,9.320126120E0,1.060484248E1
1.387610583E0,-4.004401613E0,2.800492362E0,9.865042180E0,1.100895304E1
1.397650583E0,-4.404319296E0,1.518189783E0,9.349599595E0,1.044595334E1
1.407691583E0,-4.631605538E0,2.153178692E-1,8.512463086E0,9.693304877E0
1.417732583E0,-4.671798422E0,-1.079521725E0,7.627499861E0,9.009429603E0
1.427772583E0,-4.275315101E0,-2.020853863E0,6.153768797E0,7.760865928E0
1.437813583E0,-3.424028622E0,-2.408471636E0,4.588173590E0,6.210961642E0
1.447854583E0,-2.611779909E0,-2.467715625E0,3.839108720E0,5.258304903E0
1.457895583E0,-1.789789734E0,-1.622915754E0,3.858592812E0,4.552575241E0
1.467935583E0,-1.227524693E0,-1.319014907E-1,4.247502819E0,4.423290074E0
1.477976583E0,-7.761406946E-1,1.464326402E0,4.547076142E0,4.839684663E0
1.488017583E0,-2.507318231E-1,3.602653166E0,4.827784594E0,6.029053024E0
1.498057583E0,1.795902121E-1,6.246014471E0,4.966777588E0,7.982094275E0
1.508098583E0,6.178667995E-1,8.816180915E0,4.800220234E0,1.005728192E1
1.518139583E0,1.316898507E0,1.030305827E1,4.042338055E0,1.114574934E1
1.528179583E0,1.924030403E0,9.207804615E0,2.489137484E0,9.730434946E0
1.538220583E0,2.001359538E0,5.487830576E0,6.808989072E-1,5.880930857E0
1.548261583E0,1.485740075E0,1.122604594E0,-7.908517045E-1,2.023143857E0
1.558301583E0,9.143182211E-1,-2.422373976E0,-1.598365781E0,3.042802435E0
1.568342583E0,5.514108548E-1,-4.917552803E0,-1.959943417E0,5.322382709E0
1.578383583E0,1.214743703E-1,-6.616802203E0,-2.304281415E0,7.007605886E0
1.588424583E0,-4.663131825E-1,-8.099128674E0,-3.031394230E0,8.660409011E0
1.598464583E0,-1.046708320E0,-8.753242655E0,-4.053957642E0,9.703062808E0
1.608505583E0,-1.107928960E0,-6.818011326E0,-4.642269398E0,8.322466592E0
1.618546583E0,-8.711843345E-1,-3.697981492E0,-4.627976756E0,5.987670509E0
1.628586583E0,-5.150711404E-1,-1.413806459E0,-4.638247975E0,4.876216901E0
1.638627583E0,3.608470999E-1,1.173368366E0,-1.203811544E1,1.210054657E1
1.648668583E0,1.823258904E0,6.403209262E0,-2.952529090E1,3.026661800E1
1.658708583E0,1.939143702E0,3.959283035E0,-1.052058288E1,1.140696562E1
1.668749583E0,2.632748316E-1,2.947797757E-1,-1.153298091E0,1.219141189E0
1.678790583E0,4.749129018E-1,7.086497927E-1,-1.483499422E0,1.711285285E0
1.688830583E0,9.751570382E-1,1.067405124E0,-1.132282467E0,1.836395528E0
1.698871583E0,1.144426695E0,1.123038458E0,-7.354078209E-1,1.764016015E0
1.708912583E0,1.083762637E0,1.016091129E0,-2.224779309E-1,1.502158136E0
1.718952583E0,1.054197434E0,8.709486187E-1,2.840220684E-1,1.396621731E0
1.728993583E0,1.096049976E0,7.416239959E-1,7.196161725E-1,1.506379480E0
1.739034583E0,1.264978302E0,6.067070961E-1,1.399643333E0,1.981732844E0
1.749075583E0,9.041284977E-1,6.353292167E-2,1.799790519E0,2.015125477E0
1.759115583E0,-1.055238238E-1,-7.683662367E-1,1.924876496E0,2.075252147E0
1.769156583E0,-5.551673985E-1,-1.211127931E0,2.845856230E0,3.142282513E0
1.779197583E0,-9.687199116E-1,-1.529038707E0,3.965041373E0,4.358661575E0
1.789237583E0,-1.718824709E0,-2.138445463E0,4.729202292E0,5.467418193E0
1.799278583E0,-2.705208474E0,-2.695176407E0,4.655420955E0,6.021218566E0
1.809319583E0,-3.052776913E0,-2.558514698E0,4.187384087E0,5.779241285E0
1.819359583E0,-3.060917699E0,-1.982866842E0,3.206538219E0,4.856219252E0
1.829400583E0,-3.328111188E0,-1.511352049E0,2.508600526E0,4.433236481E0
1.839441583E0,-3.288507412E0,-9.928326595E-1,2.449879278E0,4.219230518E0
