max,min,ptp,mean,median,var,skew,kurt,rms,zero
303.1925582,-48.44874719,351.64130539,32.107612706799195,2.2906113550000002,"0    7131.194883
1      95.216812
2      21.848071
3      95.789187
4     114.103778
dtype: float64",[0.05190488 3.46288494 2.53604941 0.43140254 2.98641655],[-1.03533003 17.70426419 20.53346647  5.82449843 12.53645106],77.52431630228467,2.08
303.674558,-39.77115639,343.44571439,28.973924916462146,2.4882544085,"0    7043.640315
1      62.968224
2      13.996613
3      53.762718
4      61.601069
dtype: float64",[0.22660615 1.17567802 0.40980512 0.04903093 2.40845706],[-1.00837475 11.22467044  5.75452887  4.23095434  7.89249119],72.18043036917915,1.968
301.6852377,-39.34440788,341.02964558,30.661589420254202,2.338355243,"0    6726.047732
1      62.504847
2      19.022709
3      74.598883
4      80.053395
dtype: float64",[0.15030401 3.42009584 1.04448734 0.54979504 2.82211809],[-1.02363863 24.28486968  8.40786135  4.8462847  12.97001648],74.30375326219826,1.896
302.0980161,-27.61109025,329.70910635,28.18099587719832,2.5236285499999997,"0    7255.335731
1      84.004669
2      34.294939
3      64.836235
4     103.718411
dtype: float64",[0.23769178 4.10175532 4.39565396 0.9783109  4.04381955],[-1.14015022 23.99094704 45.67466162  5.16407    24.0630898 ],70.35976667644614,1.984
301.1842242,-61.94253983,363.12676403,29.536810896058142,2.59257013,"0    7395.292213
1      75.200422
2      46.075598
3      98.774841
4     129.396250
dtype: float64",[ 0.19589891  2.63217321  6.34466679 -0.11545931  3.8815363 ],[-1.12811636 25.88827833 59.01765589  8.79012869 20.97459445],72.99669240364977,1.96
303.38335,-32.04535431,335.42870431,28.541332063831312,2.37784892,"0    6904.095180
1      70.376968
2      19.542823
3      62.880592
4      79.038927
dtype: float64",[0.18831364 2.76136802 2.76212968 1.15823664 2.80502738],[-1.02256987 11.86995989 23.46733907  6.25862445 10.80861242],70.46469151505252,1.936
298.7943076,-43.51448304,342.30879064000004,29.67683600582662,2.468032002,"0    6268.974369
1      52.401941
2      12.249244
3      54.087819
4      51.109283
dtype: float64",[ 0.09658886 -0.22041316  0.04181361  1.23377595  2.09884834],[-0.98296024  8.09882722  2.72799167  5.33876521  5.99671841],72.41338847403198,2.0
300.0922116,-48.24482905,348.33704065,28.683078129573538,2.255702499,"0    6542.804166
1      38.727267
2      20.558736
3      77.883283
4      70.181080
dtype: float64",[0.11485181 1.07240271 1.89936102 0.96362985 2.65898375],[-0.99971718  6.96230381 25.0194966   9.8150078   8.30108453],70.81622891138858,2.016
301.8481498,-22.24692478,324.09507457999996,29.66094735849608,2.128336945,"0    7290.640490
1      57.013839
2      12.562606
3      53.346364
4      62.230143
dtype: float64",[0.13017187 2.43835312 1.24216307 1.96828541 2.91440231],[-1.12141718 11.91506125  5.30690341  9.55595574 12.2155138 ],73.46034977957903,1.92
303.855309,-19.10533393,322.96064292999995,29.773365408291347,2.707404956,"0    6944.134351
1      41.983260
2      13.109598
3      52.203926
4      42.888274
dtype: float64",[0.10306821 1.89176376 0.28074677 1.23953501 1.96333049],[-1.05504078  9.13384435  1.43027632  4.57426585  5.20866893],73.06281372756632,1.928
304.2971413,-63.24805468,367.54519598,30.58993807202609,2.5283808619999997,"0    7187.417777
1      93.421270
2      13.562796
3      68.660572
4      92.799121
dtype: float64",[0.11350512 0.90180135 0.40199067 0.00674172 3.31119513],[-1.13123831 17.04057043  3.1536921   8.88161015 14.99720264],74.876156378138,2.0
299.949099,-25.77567265,325.72477165,30.574295699304844,2.4804597275,"0    7259.144467
1      60.745927
2      11.853233
3      48.541033
4      58.234799
dtype: float64",[0.13761915 2.93275969 0.10616449 1.14848622 2.84140199],[-1.13703823 18.97233462  2.25347178  4.29259522 12.09009832],75.18434313840841,1.928
303.272891,-29.22886046,332.50175146000004,29.958777963945828,2.1062681185,"0    7215.331941
1      55.533799
2      19.296751
3      55.752951
4      65.857672
dtype: float64",[0.07394944 3.42691939 0.11418096 1.47837203 3.90410958],[-1.15277309 31.52809817 18.94258943  5.51836265 26.44799661],74.37358983208493,2.112
304.3975582,-21.43428577,325.83184396999997,30.479050498872187,2.4576748960000003,"0    7407.653477
1      92.191324
2      23.767049
3      57.049371
4      89.709617
dtype: float64",[0.08465368 3.10207568 2.60748099 1.41937497 3.7746105 ],[-1.20479896 16.08194605 22.67245282  7.63327597 21.18302447],74.8213388907655,1.92
299.426933,-23.29947038,322.72640338,28.933668586204305,2.4159910865,"0    6569.161206
1      41.947723
2      13.147539
3      59.269061
4      44.051124
dtype: float64",[ 0.10534699  0.9546754  -0.72576772  0.67152614  1.38925821],[-0.96467711  4.70046445  4.47554941  2.55885371  2.06177383],71.29648961621999,1.88
303.26285,-64.92977471,368.19262471,29.784893905471375,2.1199904265000002,"0    6439.267217
1      39.514021
2      24.102817
3      76.651986
4      73.379845
dtype: float64",[ 0.03931868  1.09078779  3.598164   -0.46391252  2.9202105 ],[-0.98027755  9.33588724 30.17462868 14.09321131 12.19911569],73.02019715130383,1.984
301.5356821,-61.44890385,362.98458595,29.682832304839977,2.7575859315,"0    6834.307491
1      87.567590
2      15.387331
3      77.161564
4     103.065632
dtype: float64",[ 0.1098861   2.48445838  0.95819317 -0.35882106  3.13409025],[-1.09566798 17.70995126  7.79632138 12.48651769 12.5766496 ],72.16438203077092,1.848
299.708099,-25.9169788,325.6250778,30.191918634018727,2.2540092840000003,"0    6793.831775
1      65.715809
2      21.383633
3      45.832652
4      70.957772
dtype: float64",[0.1000807  3.5563149  4.02879234 0.67967635 4.44220907],[-1.08912118 24.11970543 37.17503305  4.59818483 33.62738968],73.74090828374118,1.904
299.216058,-36.47191642,335.68797442,31.268322173649015,2.8218916734999997,"0    6619.428223
1     102.251135
2      26.211055
3      75.920399
4     110.857960
dtype: float64",[0.15166496 3.49812111 2.64357631 0.81831527 3.53893867],[-1.03632069 17.20393243 16.67221407  5.16694402 16.66685424],74.50530731489066,1.888
303.1624332,-18.31695501,321.47938821,29.103881558943073,2.096903115,"0    7299.661436
1      42.681114
2      11.885691
3      45.385997
4      51.220553
dtype: float64",[0.20013424 2.35348378 0.51843128 2.99286621 3.43701083],[-1.04548667 14.254322    5.11175053 20.5638943  17.81753899],72.8334528119602,1.928
301.5959321,-52.60100003,354.19693213000005,29.338009630286717,2.4343020795,"0    7465.169608
1      55.484643
2      15.234407
3      42.202842
4      52.504711
dtype: float64",[ 0.15907982 -0.2629822  -0.40688904  0.17833058  2.29586999],[-1.11590517 13.04968978  3.2705614   4.7017266   7.83956173],73.18678541321935,1.96
