max,min,ptp,mean,median,var,skew,kurt,rms,zero,Label
38.60636765,-12.15576025,50.7621279,0.621994533,-0.105339052,"0    23.832459
dtype: float64",[5.1328153],[32.70381365],4.921314476,0,Jump
38.69737371,-61.94253983,100.6399135,1.281519413,1.730875017,"0    68.911979
dtype: float64",[-1.87464068],[14.95906779],8.399658992,0,Jump
38.69953718,-19.31400117,58.01353835,-0.314365034,-1.006699624,"0    112.753834
dtype: float64",[1.37999913],[2.26379306],10.62321324,0,Jump
38.73684242,-22.18008877,60.91693119,-0.148281136,-3.690040681,"0    207.011565
dtype: float64",[0.72374711],[-0.47205962],14.38866055,0,Jump
38.92682547,-53.41265905,92.33948452,1.041471579,-0.629749511,"0    191.978205
dtype: float64",[0.60795392],[0.97670193],13.89470648,0,Jump
39.27970026,-21.96444112,61.24414138,-0.025939095,-0.281009291,"0    74.931499
dtype: float64",[1.05191343],[3.85145855],8.656337116,0,Jump
39.37214707,-21.12727654,60.49942361,0.1332062,-6.420648875,"0    244.019748
dtype: float64",[0.99856388],[-0.14998043],15.6216994,0,Jump
39.51211071,-23.10124509,62.6133558,-0.110401401,-6.70698001,"0    227.807242
dtype: float64",[0.95190844],[-0.22471117],15.09368842,0,Jump
39.79337113,-19.00314915,58.79652028,-0.132136458,-1.527360264,"0    154.816522
dtype: float64",[1.24320648],[1.31985378],12.44323035,0,Jump
40.03429981,-19.27538382,59.30968363,-0.036047944,-7.215455929,"0    211.767982
dtype: float64",[1.04486656],[-0.10324751],14.55229471,0,Jump
40.25102101,-20.97961329,61.2306343,-0.181856983,-4.677835672,"0    142.390234
dtype: float64",[1.03771034],[0.32422139],11.93412361,0,Jump
40.26384746,-19.71772335,59.98157081,-0.047099093,-1.345843394,"0    146.643982
dtype: float64",[1.10567828],[1.37664614],12.10975643,0,Jump
40.29372907,-65.87240201,106.1661311,0.407078035,0.71635043,"0    88.172832
dtype: float64",[-2.22357955],[14.85860782],9.398858665,0,Jump
40.47840753,-21.41503439,61.89344192,-0.363144689,-6.620565764,"0    195.360851
dtype: float64",[0.72025837],[-0.50957582],13.98187131,0,Jump
40.59008467,-20.72522199,61.31530666,-0.374283247,-5.347973656,"0    192.891638
dtype: float64",[0.93271136],[-0.15633499],13.8935858,0,Jump
40.60332745,-19.57277321,60.17610066,-0.029255801,-6.535132681,"0    232.978641
dtype: float64",[0.97370589],[-0.19030579],15.26366592,0,Jump
